"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US3722920","Fayetteville city, North Carolina","208888","72",
"1600000US3725580","Gastonia city, North Carolina","82666","52",
"1600000US3728000","Greensboro city, North Carolina","301118","39",
"1600000US3728080","Greenville city, North Carolina","89222","45",
"1600000US3731400","High Point city, North Carolina","114339","2372",
"1600000US3734200","Jacksonville city, North Carolina","70433","47",
"1600000US3755000","Raleigh city, North Carolina","477084","1157",
"1600000US3774440","Wilmington city, North Carolina","120320","32",
"1600000US3775000","Winston-Salem city, North Carolina","251343","63",
"1600000US3807200","Bismarck city, North Dakota","74444","17",
"1600000US3825700","Fargo city, North Dakota","133879","2136",
"1600000US3901000","Akron city, Ohio","188498","44",
"1600000US3912000","Canton city, Ohio","69666","32",
"1600000US3915000","Cincinnati city, Ohio","309536","70",
"1600000US3916000","Cleveland city, Ohio","361654","165",
"1600000US3918000","Columbus city, Ohio","908372","3343",
"1600000US3921000","Dayton city, Ohio","135938","38",
"1600000US3944856","Lorain city, Ohio","65366","26",
"1600000US3961000","Parma city, Ohio","79356","27",
"1600000US3977000","Toledo city, Ohio","266289","49",
"1600000US4009050","Broken Arrow city, Oklahoma","120448","2329",
"1600000US4023200","Edmond city, Oklahoma","96304","76",
"1600000US4041850","Lawton city, Oklahoma","91553","34",
"1600000US4052500","Norman city, Oklahoma","129624","36",
"1600000US4055000","Oklahoma City city, Oklahoma","694768","219",
"1600000US4075000","Tulsa city, Oklahoma","413142","1172",
"1600000US4105350","Beaverton city, Oregon","97064","47",
"1600000US4105800","Bend city, Oregon","103263","40",
"1600000US4123850","Eugene city, Oregon","177930","38",
"1600000US4131250","Gresham city, Oregon","111634","57",
"1600000US4134100","Hillsboro city, Oregon","107319","74",
"1600000US4147000","Medford city, Oregon","85556","25",
"1600000US4159000","Portland city, Oregon","635296","1019",
"1600000US4164900","Salem city, Oregon","177490","38",
"1600000US4202000","Allentown city, Pennsylvania","125105","38",
"1600000US4206088","Bethlehem city, Pennsylvania","78854","3424",
"1600000US4224000","Erie city, Pennsylvania","93517","33",
"1600000US4260000","Philadelphia city, Pennsylvania","1567258","*****",
"1600000US4261000","Pittsburgh city, Pennsylvania","302905","47",
"1600000US4263624","Reading city, Pennsylvania","94860","26",
"1600000US4269000","Scranton city, Pennsylvania","75838","41",
"1600000US4419180","Cranston city, Rhode Island","82432","45",
"1600000US4454640","Pawtucket city, Rhode Island","75057","35",
"1600000US4459000","Providence city, Rhode Island","189575","50",
"1600000US4474300","Warwick city, Rhode Island","83024","31",
"1600000US4513330","Charleston city, South Carolina","153743","3084",
"1600000US4516000","Columbia city, South Carolina","139343","203",
"1600000US4530850","Greenville city, South Carolina","72310","29",
"1600000US4548535","Mount Pleasant town, South Carolina","94550","27",
"1600000US4550875","North Charleston city, South Carolina","118604","31",
"1600000US4561405","Rock Hill city, South Carolina","75361","45",
"1600000US4652980","Rapid City city, South Dakota","78833","35",
